Type,Group,Drug,DrugName,Protein_ID,Gene,fc,log_pvalue,log_adj.pvalue,rank,total_rank,drug_cv,con_cv,lasso_score,norm_fc_drug,norm_fc_prot,coverage,psm,upep,avg_abund,utoP,ratio_to_total_psm,ratio_to_total_upep,Class,H-Score
480,Group 24,Opicapone,Opicapone,Q9HC38,GLOD4,0.884509315,14.05744372,10.41478139,2.706717782,0.999866596,0.017529474,0.024680074,0.845927383,11.25999536,10.96159127,0.59,62,19,4.460658088,0.306451613,1.283348666,1.060794045,Background,0.985294118
480,Group 25,Dihydroergotoxine (mesylate),Dihydroergotoxine,O43264,ZW10,-0.242421252,5.628762518,2.559371955,3.404149249,0.986557025,0.033859837,0.019860673,0.0,2.260079919,5.619971528,0.29,33,19,4.07392537,0.575757576,0.80140313,0.793871866,Background,0.867647059
480,Group 25,Dihydroergotoxine (mesylate),Dihydroergotoxine,P07954,FH,-0.382882548,4.811170014,2.213766402,3.843481943,0.977899475,0.058497765,0.036438189,0.0,4.07823826,7.164520609,0.59,93,29,4.671734562,0.311827957,0.977118842,1.023529412,Background,0.845588235
lumos,Group 25,Dihydroergotoxine (mesylate),Dihydroergotoxine,P08758,ANXA5,-0.209375816,5.412895766,2.166028044,3.103119254,0.984894611,0.012087263,0.027594788,0.0,1.696163143,5.602850751,0.85,99,28,4.139288611,0.282828283,0.845671982,1.056160939,Background,0.904411765
lumos,Group 25,Dihydroergotoxine (mesylate),Dihydroergotoxine,P23919,DTYMK,-0.307710094,4.917083169,2.147336701,3.580240508,0.979520842,0.019867538,0.041501294,0.0,2.941024343,6.027912501,0.6,26,14,3.734779834,0.538461538,0.747126437,0.901287554,Background,0.867647059
lumos,Group 25,Dihydroergotoxine (mesylate),Dihydroergotoxine,P45954,ACADSB,-0.317047484,6.170629166,2.622731448,2.802089258,0.989994732,0.024712306,0.023648722,0.0,3.059230883,7.710139005,0.37,28,15,3.503722606,0.535714286,0.698060942,0.906040268,Background,0.904411765
480,Group 25,Dihydroergotoxine (mesylate),Dihydroergotoxine,Q13492,PICALM,-0.320465024,6.183637533,2.989308234,3.279210513,0.990069986,0.040391217,0.028539423,0.0,3.270293685,6.654939191,0.17,19,10,3.94859144,0.526315789,0.601688951,0.683890578,Background,0.852941176
lumos,Group 25,Dihydroergotoxine (mesylate),Dihydroergotoxine,Q15555,MAPRE2,-0.295648912,5.11835097,2.159594909,3.279210513,0.982024724,0.037169223,0.035628685,0.0,2.788336002,5.81915421,0.3,11,5,3.035029282,0.454545455,1.094660194,1.145251397,Background,0.802696078
480,Group 25,Dihydroergotoxine (mesylate),Dihydroergotoxine,Q16537,PPP2R5E,-0.360316022,5.144748418,2.376387851,3.705179245,0.982312055,0.047354128,0.045705474,0.0,3.786132768,8.333120085,0.21,17,8,3.750049173,0.470588235,0.917266187,0.939947781,Background,0.861519608
480,Group 25,Dihydroergotoxine (mesylate),Dihydroergotoxine,Q8WUM4,PDCD6IP,-0.556666185,5.305907381,2.412608077,3.580240508,0.98392316,0.020461389,0.06486986,0.0,6.327727484,11.49515251,0.64,119,57,4.797534477,0.478991597,0.820941285,1.003128666,Background,0.911764706
480,Group 25,Dihydroergotoxine (mesylate),Dihydroergotoxine,Q96GG9,DCUN1D1,-0.258876313,9.081481088,5.410030533,2.802089258,0.997882646,0.011721216,0.010666696,0.0,2.473077421,6.573567974,0.29,17,6,3.826243302,0.352941176,1.066945607,0.81570997,Background,0.854166667
lumos,Group 25,Dihydroergotoxine (mesylate),Dihydroergotoxine,Q9HAV4,XPO5,-0.430844247,4.641878958,1.997071227,3.705179245,0.974978279,0.049610682,0.061502072,0.0,4.499839158,7.374986438,0.42,87,39,3.986406684,0.448275862,0.66660991,0.89769821,Background,0.889705882
480,Group 27,Fosphenytoin (disodium),Fosphenytoin,O00231,PSMD11,0.201976886,5.922397044,3.148924056,3.42143939,0.988571761,0.00583131,0.003196064,0.162468852,2.485366707,4.36103739,0.5,47,21,4.53841914,0.446808511,0.645801527,0.721925134,Background,0.838235294
lumos,Group 27,Fosphenytoin (disodium),Fosphenytoin,P07741,APRT,0.379945014,8.034815409,4.462757419,2.57634135,0.996233915,0.027481614,0.020035879,0.369302691,5.338694083,7.341248231,0.75,49,15,3.737459024,0.306122449,0.52512503,0.950704225,Background,0.948529412
480,Group 27,Fosphenytoin (disodium),Fosphenytoin,P17980,PSMC3,0.145194129,4.95551676,2.450889084,3.690284703,0.980047615,0.015120522,0.023803242,0.123513745,1.580386612,4.233815045,0.6,65,26,4.474450836,0.4,0.803130148,0.947368421,Background,0.823529412
480,Group 27,Fosphenytoin (disodium),Fosphenytoin,P35998,PSMC2,0.233188122,5.802141901,3.108985598,3.479431337,0.98777476,0.008489925,0.033902099,0.186750491,2.982798491,6.247409651,0.51,42,22,4.543657132,0.523809524,0.557522124,0.669371197,Background,0.808823529
480,Group 27,Fosphenytoin (disodium),Fosphenytoin,P43686,PSMC4,0.179482127,6.513321969,3.547797614,3.178401342,0.991752923,0.007031152,0.021380267,0.147435452,2.126854545,5.427920588,0.42,51,20,4.555626406,0.392156863,0.6640625,0.709219858,Background,0.889705882
480,Group 27,Fosphenytoin (disodium),Fosphenytoin,P62191,PSMC1,0.155939629,6.633295962,3.547797614,2.877371346,0.992235228,0.005727305,0.017385505,0.142062965,1.75164395,3.768534794,0.43,38,15,4.137534502,0.394736842,0.614665708,0.652173913,Background,0.852941176
lumos,Group 27,Fosphenytoin (disodium),Fosphenytoin,P62195,PSMC5,0.169318762,6.64402173,3.40299125,2.877371346,0.992272855,0.009211316,0.01719976,0.13999841,1.904658095,5.427864563,0.62,52,21,3.981637425,0.403846154,0.724233983,0.906040268,Background,0.926470588
480,Group 27,Fosphenytoin (disodium),Fosphenytoin,Q13200,PSMD2,0.187649673,6.80708828,3.547797614,2.57634135,0.992919349,0.009843496,0.020016596,0.156902436,2.257025515,5.958692427,0.37,85,34,4.662630829,0.4,0.785420945,0.827922078,Background,0.919117647
480,Group 27,Fosphenytoin (disodium),Fosphenytoin,Q8NCN5,PDPR,0.473127616,5.174974376,2.597796034,3.617734035,0.98268148,0.063373852,0.05097452,0.265385069,6.806854951,7.046667,0.09,10,8,3.484349674,0.8,0.684292379,0.706827309,Background,0.904411765
lumos,Group 27,Fosphenytoin (disodium),Fosphenytoin,Q9NRX4,PHPT1,0.332920744,4.277970711,1.852040757,3.722469386,0.967073263,0.07195116,0.055809926,0.081828905,4.572013606,4.874584522,0.72,37,11,3.306628723,0.297297297,1.255656109,1.25,Background,0.830882353
lumos,Group 28,Niflumic acid,Niflumic acid,O75533,SF3B1,0.358892046,7.482253902,4.204759292,3.045322979,0.994988815,0.023855561,0.025854589,0.268757487,4.480097693,5.934026718,0.24,51,24,3.855397997,0.470588235,1.642806013,1.35678392,Background,0.992647059
lumos,Group 28,Niflumic acid,Niflumic acid,P05455,SSB,0.250153458,6.119791937,3.386365371,3.589391023,0.989748449,0.017890183,0.03064717,0.173052978,2.873598626,4.121810224,0.52,102,29,4.300767168,0.284313725,0.901768173,0.83546735,Background,0.889705882
lumos,Group 28,Niflumic acid,Niflumic acid,P24539,ATP5PB,0.213485353,5.376556409,2.808013871,3.744292983,0.984566233,0.034503182,0.026224058,0.177572996,2.331865677,1.99567496,0.19,15,5,3.215478936,0.333333333,1.140939597,0.944444444,Background,0.852941176
lumos,Group 28,Niflumic acid,Niflumic acid,P35249,RFC4,0.262215911,5.425473466,2.808013871,3.698535493,0.98500065,0.030709849,0.029474414,0.210570262,3.051808769,4.371021108,0.22,10,7,3.005330687,0.7,1.084337349,1.137184116,Background,0.845588235
lumos,Group 28,Niflumic acid,Niflumic acid,P50225,SULT1A1,0.367614966,6.174318252,3.386365371,3.522444234,0.990015256,0.048161444,0.027489951,0.363999908,4.608969721,5.813140433,0.15,8,2,3.267769938,0.25,0.504297994,0.502857143,Background,0.860294118
lumos,Group 28,Niflumic acid,Niflumic acid,P50336,PPOX,0.492787945,6.80079301,3.824328396,3.346352974,0.992891984,0.045160414,0.041273659,0.324660359,6.458269746,3.488780698,0.19,10,6,3.045009861,0.6,1.171875,1.034482759,Background,0.992647059
lumos,Group 28,Niflumic acid,Niflumic acid,P53990,IST1,0.247377277,6.366735089,3.487180488,3.443262987,0.991048278,0.010120701,0.028161029,0.169659495,2.832583452,5.477230636,0.12,16,5,3.217457623,0.3125,0.870616687,0.696594427,Background,0.830882353
480,Group 28,Niflumic acid,Niflumic acid,Q14738,PPP2R5D,0.199765669,6.928905437,3.650266139,3.045322979,0.993288774,0.020883292,0.01320259,0.160319789,2.102835698,4.341448364,0.15,17,7,3.562298814,0.411764706,0.819935691,0.858310627,Background,0.875
480,Group 28,Niflumic acid,Niflumic acid,Q8TEX9,IPO4,0.168021796,5.630614706,2.896043453,3.589391023,0.986580969,0.012466668,0.020242598,0.107851221,1.636164214,3.737097241,0.3,50,23,3.94472936,0.46,0.756811302,0.754373178,Background,0.852941176
lumos,Group 28,Niflumic acid,Niflumic acid,Q96TA1,NIBAN2,0.2304255,5.26905029,2.808013871,3.823474229,0.983581099,0.034462383,0.024969353,0.160265443,2.582138652,4.474622602,0.15,19,11,3.4756494,0.578947368,0.878725591,0.89028777,Background,0.816176471
480,Group 28,Niflumic acid,Niflumic acid,Q9H857,NT5DC2,0.600402326,11.15101628,7.571346986,2.744292983,0.9993193,0.032404708,0.01661944,0.531394527,7.99265596,6.776535154,0.12,7,6,3.176047827,0.857142857,0.913946588,0.974169742,Background,0.955882353
480,Group 29,Angiotensin II human (acetate),Angiotensin II human,P04844,RPN2,1.399034623,9.684811135,6.866805305,3.485721426,0.998402578,0.090041755,0.065136789,1.399355113,11.87695373,24.65561579,0.11,6,4,3.047021617,0.666666667,0.318987342,0.431876607,Background,0.816176471
480,Group 29,Angiotensin II human (acetate),Angiotensin II human,P49589,CARS1,0.432646935,7.472094564,4.989880835,3.821513528,0.994958029,0.047361541,0.03752172,0.415402973,3.26137494,12.42130974,0.3,33,20,3.769406869,0.606060606,0.929868503,0.894632207,Background,0.830882353
lumos,Group 29,Angiotensin II human (acetate),Angiotensin II human,P55786,NPEPPS,1.493030982,9.958102849,6.846504324,3.184691431,0.998645441,0.047011,0.079411751,1.217339864,14.7056875,11.49251371,0.56,145,44,4.244619719,0.303448276,1.178223185,1.0548748,Background,0.977941176
480,Group 29,Angiotensin II human (acetate),Angiotensin II human,P78318,IGBP1,0.574353173,10.59217094,7.598073851,3.309630167,0.999018287,0.015261224,0.03010266,0.516415266,4.524720145,19.7784419,0.19,9,6,3.072892957,0.666666667,0.513959391,0.580645161,Background,0.816176471
480,Group 29,Angiotensin II human (acetate),Angiotensin II human,Q13155,AIMP2,0.996719293,10.78435736,7.665321531,3.184691431,0.999110643,0.057389077,0.022593721,0.879960365,8.290215745,20.27880468,0.38,27,11,3.793731032,0.407407407,1.073321555,1.037735849,Background,0.992647059
480,Group 29,Angiotensin II human (acetate),Angiotensin II human,Q4J6C6,PREPL,0.715595045,9.616111544,6.865052503,3.552668216,0.99835811,0.028040954,0.015712667,0.682499635,5.78392543,23.59938211,0.09,11,6,3.282871245,0.545454545,0.602923264,0.471204188,Background,0.882352941
lumos,Group 29,Angiotensin II human (acetate),Angiotensin II human,Q92485,SMPDL3B,0.62676388,9.150122616,6.163462828,3.309630167,0.99796474,0.0309228,0.042069757,0.567765737,5.826054443,13.68923161,0.05,6,2,2.672190251,0.333333333,1.75,0.853658537,Background,0.882352941
lumos,Group 29,Angiotensin II human (acetate),Angiotensin II human,Q92888,ARHGEF1,0.391316155,8.01962059,5.333990797,3.610660163,0.996196288,0.015387743,0.035619167,0.348515704,3.412607833,3.037077694,0.07,6,5,2.751587005,0.833333333,0.985074627,0.964912281,Background,0.823529412
480,Group 29,Angiotensin II human (acetate),Angiotensin II human,Q96AJ9,VTI1A,1.033150758,6.712669679,4.292603857,3.883661435,0.992573868,0.141496618,0.046539123,0.876691505,8.615011026,23.15372883,0.13,5,4,2.65571455,0.8,0.507900677,0.656934307,Background,0.838235294
lumos,Group 29,Angiotensin II human (acetate),Angiotensin II human,Q96B36,AKT1S1,0.535691339,8.340031957,5.596410218,3.552668216,0.996784632,0.043274852,0.037845113,0.514061096,4.892519348,10.62672767,0.21,17,5,3.153570981,0.294117647,1.006578947,0.907258065,Background,0.963235294
480,Group 29,Angiotensin II human (acetate),Angiotensin II human,Q96CD2,PPCDC,0.954863361,6.081815675,3.764412195,3.986323777,0.989570577,0.045911947,0.145303716,0.48514268,7.917060045,15.87671259,0.25,6,5,2.681602999,0.833333333,0.629370629,0.875486381,Background,0.823529412
480,Group 29,Angiotensin II human (acetate),Angiotensin II human,Q99615,DNAJC7,0.759889871,7.804745907,5.249981511,3.748962861,0.995792657,0.073196289,0.048928279,0.62230729,6.178824462,15.75867828,0.28,23,14,3.72113021,0.608695652,0.536825726,0.58279371,Background,0.889705882
lumos,Group 29,Angiotensin II human (acetate),Angiotensin II human,Q9BYT8,NLN,0.510201229,5.405185181,3.020585384,3.911690159,0.984815937,0.04560711,0.074142132,0.337809047,4.631234083,12.22367114,0.36,57,21,3.694916551,0.368421053,1.124506795,1.015037594,Background,0.816176471
lumos,Group 29,Angiotensin II human (acetate),Angiotensin II human,Q9NY33,DPP3,1.300823532,13.86120988,10.2724901,2.707570176,0.99983239,0.030468507,0.03710109,1.232477757,12.73547344,25.51059062,0.49,89,31,3.960339946,0.348314607,1.390625,1.205704408,Background,0.985294118
lumos,Group 29,Angiotensin II human (acetate),Angiotensin II human,Q9UBL3,ASH2L,0.631377311,8.48643902,5.675870491,3.485721426,0.997075383,0.047234728,0.043067347,0.57821788,5.873344214,14.72999737,0.11,9,6,2.844756675,0.666666667,0.948477752,1.062992126,Background,0.941176471
lumos,Group 29,Flavin adenine dinucleotide (disodium salt),Flavin adenine dinucleotide,O00116,AGPS,0.344445483,4.917198209,2.558927351,3.774516966,0.979524262,0.040039273,0.049471261,0.203301713,3.458876334,5.637632322,0.23,14,10,3.470447244,0.714285714,2.128654971,2.08,Background,0.801470588
lumos,Group 29,Flavin adenine dinucleotide (disodium salt),Flavin adenine dinucleotide,O00764,PDXK,0.508200676,3.961477851,1.715180752,3.886490725,0.956770402,0.070455877,0.061667152,0.250266003,5.42808627,10.55272658,0.42,51,13,3.638004773,0.254901961,0.984978541,0.797002725,Background,0.816176471
lumos,Group 29,Flavin adenine dinucleotide (disodium salt),Flavin adenine dinucleotide,O60701,UGDH,1.297819569,7.051053357,4.307431618,3.389166084,0.993730032,0.154794845,0.090950563,1.164621469,14.92351264,20.64400399,0.74,162,35,4.299754556,0.216049383,0.866413121,0.877926421,Background,0.941176471
480,Group 29,Flavin adenine dinucleotide (disodium salt),Flavin adenine dinucleotide,P00387,CYB5R3,1.18564598,11.5917317,8.021156273,2.544068044,0.9994356,0.038493072,0.057871013,1.080205463,11.28427196,24.26863072,0.27,16,8,3.374436715,0.5,0.86746988,0.796460177,Target,1.0
480,Group 29,Flavin adenine dinucleotide (disodium salt),Flavin adenine dinucleotide,P11310,ACADM,1.499240311,7.947405331,5.050218254,3.243038049,0.996076567,0.137463383,0.050950492,1.259151069,14.4258095,21.74818851,0.47,39,18,3.965006389,0.461538462,0.917887029,0.922551253,Target,1.0
lumos,Group 29,Flavin adenine dinucleotide (disodium salt),Flavin adenine dinucleotide,P16219,ACADS,0.936788827,10.19036437,6.902674588,2.84509804,0.998799368,0.053445343,0.034837946,0.751225124,10.58199946,21.8179313,0.38,24,11,3.212520525,0.458333333,2.173038229,1.661073826,Target,1.0
lumos,Group 29,Flavin adenine dinucleotide (disodium salt),Flavin adenine dinucleotide,P16435,POR,1.69173177,9.342590375,6.355930587,3.146128036,0.998149453,0.111411074,0.052414,1.525474891,19.66043614,19.03385615,0.35,23,16,3.338436571,0.695652174,1.048029557,1.373549884,Target,0.985294118
480,Group 29,Flavin adenine dinucleotide (disodium salt),Flavin adenine dinucleotide,P26440,IVD,0.997712024,5.962777982,3.436797497,3.58546073,0.988841989,0.120084788,0.018412439,0.781343479,9.401579834,28.96126973,0.31,31,14,3.773424382,0.451612903,0.950920245,0.886075949,Target,0.977941176
480,Group 29,Flavin adenine dinucleotide (disodium salt),Flavin adenine dinucleotide,P45954,ACADSB,0.484468348,6.329855975,3.687941404,3.498310554,0.990856725,0.063557649,0.043773154,0.400114451,4.259987274,14.2195217,0.45,51,16,4.065213603,0.31372549,1.144638404,0.884520885,Background,0.963235294
lumos,Group 29,Flavin adenine dinucleotide (disodium salt),Flavin adenine dinucleotide,Q16881,TXNRD1,0.607493277,5.385645553,2.973017032,3.720159303,0.984655169,0.075086753,0.06531637,0.404590481,6.622112394,10.02532956,0.52,115,25,3.900749358,0.217391304,1.033346645,0.906526994,Target,0.970588235
lumos,Group 29,Flavin adenine dinucleotide (disodium salt),Flavin adenine dinucleotide,Q8N465,D2HGDH,0.532099709,4.37268544,2.062719261,3.822821645,0.969385591,0.098976022,0.030956688,0.328484767,5.715479994,10.13603727,0.14,11,7,3.081167215,0.636363636,2.210526316,1.781818182,Background,0.867647059
480,Group 29,Flavin adenine dinucleotide (disodium salt),Flavin adenine dinucleotide,Q8NFF5,FLAD1,0.438106446,7.340771021,4.52276519,3.322219295,0.994653595,0.044230696,0.032189032,0.35121743,3.795541202,13.08697464,0.3,23,15,3.484598759,0.652173913,1.191024166,1.216216216,Background,0.911764706
lumos,Group 29,Flavin adenine dinucleotide (disodium salt),Flavin adenine dinucleotide,Q92947,GCDH,0.822490704,8.136772825,5.247023049,3.243038049,0.99643231,0.059143522,0.029129746,0.680315323,9.207527021,9.714311347,0.2,14,7,3.377816029,0.5,3.694444444,2.860215054,Target,0.992647059
480,Group 29,Flavin adenine dinucleotide (disodium salt),Flavin adenine dinucleotide,Q96CU9,FOXRED1,0.541264609,6.049948795,3.453791714,3.544068044,0.989382444,0.070648044,0.05537915,0.415810986,4.82896308,15.77881529,0.09,7,5,2.919888368,0.714285714,1.069444444,1.042654028,Background,0.926470588
lumos,Group 29,Flavin adenine dinucleotide (disodium salt),Flavin adenine dinucleotide,Q96HE7,ERO1A,0.21821636,6.110978581,3.522258802,3.544068044,0.989703981,0.026889012,0.025265831,0.166938773,1.940929698,7.753134865,0.52,88,23,3.756982037,0.261363636,1.353846154,1.15,Background,0.860294118
480,Group 29,Flavin adenine dinucleotide (disodium salt),Flavin adenine dinucleotide,Q96HP4,OXNAD1,1.161807608,10.04899849,6.929962661,3.021189299,0.998724115,0.052662659,0.074629067,1.051706457,11.04546299,9.018607392,0.1,4,3,2.549922404,0.75,2.333333333,1.866666667,Background,0.882352941
lumos,Group 29,Flavin adenine dinucleotide (disodium salt),Flavin adenine dinucleotide,Q9H9P8,L2HGDH,0.52591588,9.597607318,6.486008793,3.021189299,0.998347848,0.031070344,0.028149419,0.48438849,5.641117413,10.09748247,0.29,21,11,3.329072291,0.523809524,3.192567568,2.462686567,Background,0.992647059
lumos,Group 29,Flavin adenine dinucleotide (disodium salt),Flavin adenine dinucleotide,Q9NNW7,TXNRD2,0.540464536,4.870878484,2.537431209,3.799340549,0.978816197,0.064168197,0.058868734,0.269014204,5.816069786,10.06287423,0.36,54,13,3.442769725,0.240740741,1.640783255,1.122840691,Background,0.882352941
lumos,Group 29,Flavin adenine dinucleotide (disodium salt),Flavin adenine dinucleotide,Q9NQE9,HINT3,0.464118497,5.476686287,3.034094544,3.69019608,0.985400861,0.017245653,0.067362281,0.331811954,4.897983598,10.65317163,0.3,9,5,2.674769314,0.555555556,1.311864407,1.295180723,Background,0.904411765
480,Group 29,Merbromin,Merbromin,P09211,GSTP1,0.209953027,4.778595091,1.960589261,3.325925956,0.977352179,0.011893187,0.037591213,0.177094212,2.29517186,4.074434696,0.71,36,14,4.310792053,0.388888889,0.61761342,0.966257669,Background,0.897058824
lumos,Group 29,Merbromin,Merbromin,P11413,G6PD,0.531751532,4.693371772,2.104651992,3.547774705,0.975925787,0.116924552,0.028455225,0.35251095,6.798774527,12.83101826,0.63,131,33,4.471796871,0.251908397,1.154976489,1.021320495,Background,0.941176471
480,Group 29,Merbromin,Merbromin,P15121,AKR1B1,0.288088012,7.532004905,4.06578936,2.547774705,0.995122218,0.02042938,0.023964846,0.233274563,3.456250792,10.20787308,0.47,31,13,3.884469663,0.419354839,0.613726353,0.79375848,Background,0.897058824
480,Group 29,Merbromin,Merbromin,P29373,CRABP2,0.440153874,5.899963962,2.780928136,3.02489596,0.988434937,0.06630154,0.050714445,0.384418163,5.715935964,3.462541397,0.41,13,5,3.226187323,0.384615385,0.334094803,0.427756654,Background,0.823529412
480,Group 29,Merbromin,Merbromin,P30048,PRDX3,-0.697092866,7.360916445,4.06578936,2.848804701,0.994708325,0.021639686,0.05257867,0.0,9.534026539,13.93585371,0.47,53,13,4.088015533,0.245283019,0.836548579,0.9169279,Background,0.992647059
480,Group 29,Merbromin,Merbromin,P51649,ALDH5A1,0.838196587,5.747027952,2.752930862,3.149834697,0.987442961,0.113357377,0.082570692,0.559423451,11.63081528,13.55611958,0.3,45,15,3.98301252,0.333333333,1.272784412,0.894039735,Background,0.985294118
lumos,Group 29,Merbromin,Merbromin,P62937,PPIA,-0.16891795,4.118660911,1.609747533,3.589167391,0.96224679,0.015108434,0.027166063,0.0,1.589025464,4.834955426,0.87,203,15,4.471784414,0.073891626,1.005503577,0.924657534,Background,0.830882353
lumos,Group 29,Merbromin,Merbromin,Q96C36,PYCR2,0.268987385,5.562677699,2.672927924,3.24674471,0.986143132,0.006290021,0.034979789,0.048047875,3.025873297,4.490546434,0.45,37,10,3.392468317,0.27027027,2.575949367,1.86440678,Background,0.904411765
480,Group 29,Merbromin,Merbromin,Q9GZZ1,NAA50,0.362419483,4.381547967,1.721574703,3.450864692,0.969583986,0.091595444,0.029297977,0.264519556,4.560809831,10.82309698,0.57,25,10,3.82741451,0.4,0.987708516,0.800711744,Background,0.926470588
lumos,Group 29,Merbromin,Merbromin,Q9H857,NT5DC2,0.407266461,6.099803283,3.113143494,3.149834697,0.989638989,0.068274462,0.027518063,0.341553209,5.011354571,3.300777471,0.07,6,4,2.943914757,0.666666667,2.035714286,1.6,Background,0.919117647
lumos,Group 29,Merbromin,Merbromin,Q9NX74,DUS2,0.899887412,7.917859575,4.329139796,2.547774705,0.996004734,0.034554304,0.093404322,0.794242147,12.08465667,10.29398085,0.1,6,5,2.760309371,0.833333333,0.787172012,0.922131148,Background,0.941176471
480,Group 3,Dabrafenib (Mesylate),Dabrafenib,P11802,CDK4,0.341069948,10.31456883,7.271796496,2.987666265,0.99886778,0.011433136,0.017107918,0.331447279,4.749641971,9.476770641,0.53,33,14,3.866868963,0.424242424,1.164705882,1.147540984,Background,1.0
480,Group 3,Dabrafenib (Mesylate),Dabrafenib,P12931,SRC,-0.261982182,5.749185145,3.145745501,3.426998959,0.987456644,0.03639046,0.010173404,0.0,3.471309874,3.462101371,0.25,14,6,3.550949539,0.428571429,1.06779661,1.343283582,Background,0.802696078
480,Group 3,Dabrafenib (Mesylate),Dabrafenib,P15056,BRAF,0.95403896,12.90455652,9.560754185,2.686636269,0.999688725,0.021796112,0.035967397,0.928834554,14.65734328,11.28135932,0.09,6,6,3.22497309,1.0,1.065420561,2.85,Target,0.955882353
480,Group 3,Dabrafenib (Mesylate),Dabrafenib,P24941,CDK2,0.659961713,11.14286092,7.975149849,2.862727528,0.999305617,0.027895661,0.02755925,0.609573653,9.904036879,20.15704628,0.46,26,12,3.733108952,0.461538462,0.975813178,1.020793951,Background,1.0
480,Group 3,Dabrafenib (Mesylate),Dabrafenib,P48426,PIP4K2A,0.471022301,5.21699414,2.686105164,3.499549626,0.983136421,0.044701261,0.084013484,0.41746344,6.850121894,3.522670681,0.2,14,8,3.632153484,0.571428571,2.150170648,2.535211268,Background,0.941176471
480,Group 3,Dabrafenib (Mesylate),Dabrafenib,P49840,GSK3A,-0.593446776,8.385819661,5.586085372,3.230704314,0.996842782,0.043258555,0.013953633,0.0,8.828925239,16.68169393,0.27,19,5,3.070241106,0.263157895,1.554545455,1.02739726,Background,0.933823529
480,Group 3,Dabrafenib (Mesylate),Dabrafenib,P49841,GSK3B,-0.274027104,5.850135829,3.2053035,3.385606274,0.988106559,0.044269201,0.031720054,0.0,3.665997515,5.074383517,0.38,22,8,3.587823171,0.363636364,2.227848101,2.37037037,Background,0.882352941
lumos,Group 3,Dabrafenib (Mesylate),Dabrafenib,Q00534,CDK6,-0.1909461,6.159245193,3.374865674,3.163757524,0.989953685,0.020863432,0.009177134,0.0,2.398750322,4.552909867,0.3,14,7,3.391825733,0.5,1.301652893,1.363636364,Background,0.808823529
480,Group 3,Dabrafenib (Mesylate),Dabrafenib,Q00536,CDK16,0.969016964,13.01936633,9.560754185,2.385606274,0.999712669,0.01317894,0.04017305,0.934541618,14.89943967,12.11007224,0.11,6,5,3.100042977,0.833333333,1.741935484,2.647058824,Target,0.963235294
480,Group 3,Dabrafenib (Mesylate),Dabrafenib,Q8TD19,NEK9,0.789554574,9.782356635,6.836494311,3.084576278,0.998494934,0.025269756,0.052231757,0.735456529,11.99870616,15.50377944,0.2,20,17,3.513929738,0.85,1.517706577,1.670305677,Target,0.992647059
480,Group 3,Dabrafenib (Mesylate),Dabrafenib,Q96EK9,KTI12,0.580963879,7.163945013,4.422202671,3.288696261,0.994130243,0.045046014,0.049906815,0.46086065,8.627158395,10.27109999,0.07,3,3,2.958038016,1.0,0.936170213,1.157894737,Background,0.889705882
480,Group 3,Dabrafenib (Mesylate),Dabrafenib,Q9H2G2,SLK,-0.267418391,6.369419614,3.678829795,3.339848783,0.991065381,0.025884512,0.017032239,0.0,3.559177841,4.589020978,0.21,39,24,4.152546703,0.615384615,1.346891788,1.264637002,Background,0.919117647
480,Group 3,Dabrafenib (Mesylate),Dabrafenib,Q9NYL2,MAP3K20,0.441278697,8.599944968,5.733263889,3.163757524,0.997253255,0.020504985,0.022781865,0.167479411,6.369362285,4.394652095,0.09,6,6,2.998084888,1.0,1.597122302,1.865546218,Background,0.941176471
480,Group 31,Bleomycin (sulfate),Bleomycin,O00499,BIN1,0.275979534,8.154710566,5.293112155,3.333245699,0.996473357,0.019232176,0.013925998,0.260349735,4.107664167,9.075290803,0.16,9,6,3.059165669,0.666666667,0.653225806,0.697674419,Background,0.852941176
480,Group 31,Bleomycin (sulfate),Bleomycin,O14802,POLR3A,0.666348108,8.918598302,5.735613335,3.032215703,0.997691092,0.042432646,0.043469914,0.611631367,10.79343218,12.71365215,0.05,5,5,2.802294711,1.0,0.445544554,0.522041763,Background,0.816176471
480,Group 31,Bleomycin (sulfate),Bleomycin,P07203,GPX1,0.26625136,6.044638934,3.739027406,3.897517129,0.989348238,0.019756995,0.025414967,0.234681498,3.941051589,5.208433607,0.59,35,10,4.034457994,0.285714286,1.04512276,0.9375,Background,0.816176471
480,Group 31,Bleomycin (sulfate),Bleomycin,P49821,NDUFV1,0.170906367,7.127920143,4.64390518,3.731185708,0.994027625,0.003709868,0.01736749,0.147466357,2.308096109,1.550326661,0.4,22,14,3.670111275,0.636363636,2.25,2.11409396,Background,0.838235294
480,Group 31,Bleomycin (sulfate),Bleomycin,P50583,NUDT2,0.300067949,7.183247064,4.669268878,3.701222484,0.99416787,0.019321063,0.029388669,0.26069896,4.520221857,4.816769076,0.48,9,6,3.390316768,0.666666667,0.9375,1.153846154,Background,0.897058824
lumos,Group 31,Bleomycin (sulfate),Bleomycin,P82673,MRPS35,1.002050443,8.935789952,5.97157869,3.032215703,0.997728719,0.040895423,0.086899907,0.862210932,11.67889729,12.97460638,0.06,4,2,2.726767948,0.5,0.695652174,0.556962025,Background,0.816176471
